article_id,title,stored_score,score_band,category,config_name,config_label,repetition,parsed_score,response_provider,response_model,message_content_empty,fallback_source,raw_output,message_content,message_reasoning,choice_reasoning_content,response_id,finish_reason,latency_seconds,http_attempts,status,error,prompt_sha256,common_payload_sha256,request_payload_sha256,completed_at
7571345639725662763,校长把稻田“搬进”教室，让孩子读懂“粒粒皆辛苦”,75.0,3,external_positive,A,生产基线,1,45,Alibaba,deepseek/deepseek-v4-flash,False,message.content,45,45,,,gen-1786289467-8BZ5Z93jXnovwOwLGpj4,stop,8.753521401435137,1,ok,,c4ae59abdf99c076fb76c862b70b752eef53b7265ae7a3bb4929311cd9999648,f44a548b0c2fc50876ef9401eedd05acd5220b568b8970353e84990a6e8e7f75,785118d16dcddafcfac2d01aebb39d30845b5a0d23f0ed6bf31c54e4838089b9,2026-08-09T15:31:14.772875+00:00
7571345639725662763,校长把稻田“搬进”教室，让孩子读懂“粒粒皆辛苦”,75.0,3,external_positive,A,生产基线,2,60,Alibaba,deepseek/deepseek-v4-flash,False,message.content,60,60,,,gen-1786289300-uhBjowJvJyvgnBqTWCDF,stop,11.950818698853254,1,ok,,c4ae59abdf99c076fb76c862b70b752eef53b7265ae7a3bb4929311cd9999648,f44a548b0c2fc50876ef9401eedd05acd5220b568b8970353e84990a6e8e7f75,785118d16dcddafcfac2d01aebb39d30845b5a0d23f0ed6bf31c54e4838089b9,2026-08-09T15:28:31.568224+00:00
7571345639725662763,校长把稻田“搬进”教室，让孩子读懂“粒粒皆辛苦”,75.0,3,external_positive,A,生产基线,3,58,Alibaba,deepseek/deepseek-v4-flash,False,message.content,58,58,,,gen-1786289357-sFXglQ2o1rmeCRKwPSi1,stop,3.8006721027195454,1,ok,,c4ae59abdf99c076fb76c862b70b752eef53b7265ae7a3bb4929311cd9999648,f44a548b0c2fc50876ef9401eedd05acd5220b568b8970353e84990a6e8e7f75,785118d16dcddafcfac2d01aebb39d30845b5a0d23f0ed6bf31c54e4838089b9,2026-08-09T15:29:19.754815+00:00
7571345639725662763,校长把稻田“搬进”教室，让孩子读懂“粒粒皆辛苦”,75.0,3,external_positive,D,固定 provider + 关闭 reasoning,1,45,Alibaba,deepseek/deepseek-v4-flash,False,message.content,45,45,,,gen-1786289696-xxYv9lAzIUNEHH9tgFwC,stop,1.6926922015845776,1,ok,,c4ae59abdf99c076fb76c862b70b752eef53b7265ae7a3bb4929311cd9999648,f44a548b0c2fc50876ef9401eedd05acd5220b568b8970353e84990a6e8e7f75,7289b94554c935742c15b9734817701c4f6e958d219c25b68240e1ac405193dd,2026-08-09T15:34:57.173549+00:00
7571345639725662763,校长把稻田“搬进”教室，让孩子读懂“粒粒皆辛苦”,75.0,3,external_positive,D,固定 provider + 关闭 reasoning,2,45,Alibaba,deepseek/deepseek-v4-flash,False,message.content,45,45,,,gen-1786289450-06xbb9whQ1lL7jD8KL3D,stop,1.5687008015811443,1,ok,,c4ae59abdf99c076fb76c862b70b752eef53b7265ae7a3bb4929311cd9999648,f44a548b0c2fc50876ef9401eedd05acd5220b568b8970353e84990a6e8e7f75,7289b94554c935742c15b9734817701c4f6e958d219c25b68240e1ac405193dd,2026-08-09T15:30:51.028559+00:00
7571345639725662763,校长把稻田“搬进”教室，让孩子读懂“粒粒皆辛苦”,75.0,3,external_positive,D,固定 provider + 关闭 reasoning,3,25,Alibaba,deepseek/deepseek-v4-flash,False,message.content,25,25,,,gen-1786289531-cy4WvtUyWjb5BEGQvx6e,stop,1.8409687988460064,1,ok,,c4ae59abdf99c076fb76c862b70b752eef53b7265ae7a3bb4929311cd9999648,f44a548b0c2fc50876ef9401eedd05acd5220b568b8970353e84990a6e8e7f75,7289b94554c935742c15b9734817701c4f6e958d219c25b68240e1ac405193dd,2026-08-09T15:32:11.930874+00:00
7572409532970943022,“辞家千里又千里，务必争气再争气”为什么让大家都湿了眼眶？,20.0,1,external_positive,A,生产基线,1,5,Alibaba,deepseek/deepseek-v4-flash,False,message.content,5,5,,,gen-1786289568-o2cosqr8f7LoFRDWNnhn,stop,7.048717401921749,1,ok,,d7202f6396a7effc0db0f76575257b23f0cb424bcae86017e7c6f528370774fb,5441b6fc62d7a8defda360177acf8cf786c6e2192664cea81a6c646aead65be1,c432f8846fee0dd9ca924239100325534907f0b90090ee1475f976c5e5fc0172,2026-08-09T15:32:54.089168+00:00
7572409532970943022,“辞家千里又千里，务必争气再争气”为什么让大家都湿了眼眶？,20.0,1,external_positive,A,生产基线,2,10,Alibaba,deepseek/deepseek-v4-flash,False,message.content,10,10,,,gen-1786289490-3YgIdT8lmRqM9aDbLnoo,stop,7.449976500123739,1,ok,,d7202f6396a7effc0db0f76575257b23f0cb424bcae86017e7c6f528370774fb,5441b6fc62d7a8defda360177acf8cf786c6e2192664cea81a6c646aead65be1,c432f8846fee0dd9ca924239100325534907f0b90090ee1475f976c5e5fc0172,2026-08-09T15:31:37.116144+00:00
7572409532970943022,“辞家千里又千里，务必争气再争气”为什么让大家都湿了眼眶？,20.0,1,external_positive,A,生产基线,3,10,Alibaba,deepseek/deepseek-v4-flash,False,message.content,10,10,,,gen-1786289295-rRxH17m2BrWFyLaQ4bIn,stop,6.226742599159479,1,ok,,d7202f6396a7effc0db0f76575257b23f0cb424bcae86017e7c6f528370774fb,5441b6fc62d7a8defda360177acf8cf786c6e2192664cea81a6c646aead65be1,c432f8846fee0dd9ca924239100325534907f0b90090ee1475f976c5e5fc0172,2026-08-09T15:28:20.360556+00:00
7572409532970943022,“辞家千里又千里，务必争气再争气”为什么让大家都湿了眼眶？,20.0,1,external_positive,D,固定 provider + 关闭 reasoning,1,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786289491-tx4sm1hbB0s3B7nmMoRX,stop,1.5821252018213272,1,ok,,d7202f6396a7effc0db0f76575257b23f0cb424bcae86017e7c6f528370774fb,5441b6fc62d7a8defda360177acf8cf786c6e2192664cea81a6c646aead65be1,44a2400c82497ebacdb6583e6ba04b9a42d36635300321ae39dcd3f13c8a2274,2026-08-09T15:31:32.040316+00:00
7572409532970943022,“辞家千里又千里，务必争气再争气”为什么让大家都湿了眼眶？,20.0,1,external_positive,D,固定 provider + 关闭 reasoning,2,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786289382-H0akqdZI4gaMMpkMnVEv,stop,1.8090559020638466,1,ok,,d7202f6396a7effc0db0f76575257b23f0cb424bcae86017e7c6f528370774fb,5441b6fc62d7a8defda360177acf8cf786c6e2192664cea81a6c646aead65be1,44a2400c82497ebacdb6583e6ba04b9a42d36635300321ae39dcd3f13c8a2274,2026-08-09T15:29:42.766027+00:00
7572409532970943022,“辞家千里又千里，务必争气再争气”为什么让大家都湿了眼眶？,20.0,1,external_positive,D,固定 provider + 关闭 reasoning,3,0,Alibaba,deepseek/deepseek-v4-flash,False,message.content,0,0,,,gen-1786289493-pl515ZgJkDZFGraBy4n3,stop,1.6369938999414444,1,ok,,d7202f6396a7effc0db0f76575257b23f0cb424bcae86017e7c6f528370774fb,5441b6fc62d7a8defda360177acf8cf786c6e2192664cea81a6c646aead65be1,44a2400c82497ebacdb6583e6ba04b9a42d36635300321ae39dcd3f13c8a2274,2026-08-09T15:31:33.678725+00:00
7575087565024379392,深耕古诗文教学 赋能情感育人,50.0,2,external_positive,A,生产基线,1,45,Alibaba,deepseek/deepseek-v4-flash,False,message.content,45,45,,,gen-1786289441-BY66cqYekJZDM5sfyUoj,stop,7.839858401566744,1,ok,,3ca2b450b200bb009fa0a44ba51aa0054b66d536d0ed59b54669c28cb70e85ec,19b50c3dd1625dfb8e9b5123584d3350531dd68248b043acd7fa1fa9dc2e2dac,df810098a8bc52543ecdb657f085dba95220e046bf826b73e28c1e282f52640c,2026-08-09T15:30:47.723386+00:00
