article_id,title,url,relevance_score,rubric_score,category,error
7669613775686812160,持续擦亮中国黄（渤）海候鸟栖息地绿色名片——访黄（渤）海候鸟栖息地申遗首席专家、北京林业大学教授雷光春,http://feed.huiwen.co/rssv2/toutiaohao_article_jpjiaoyu_718a2d0a9d9746608fbf9a0be1b13543/item/IL1CR4EZAEX87D3.html,10.0,15,internal_positive,
7669945669477614132,销售散装食品 审批最快仅需1日,http://t.ynet.cn/h5/38520887.html,0.0,0,internal_positive,
gmw:2026-07/25/content_38907089,在AI潮流中锚定价值坐标——读《上善AI：有温度的人工智能治理》,https://news.gmw.cn/2026-07/25/content_38907089.htm,20.0,45,external_positive,
tencent:20260805A0BXHX00,国家工信安全中心Office Agent最新测评，百度文库蝉联行业第一,https://view.inews.qq.com/a/20260805A0BXHX00,30.0,0,internal_positive,
7668220983425319467,“无论愿不愿意承认，我们的未来都与中国息息相关”,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a6afc81e4b03fa51a823e61.html,0.0,0,internal_positive,
7667368221460267563,2026年亚洲速度轮滑场地系列赛（中国贵阳站）收官,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjUxNzQzXzE5NDgzMV8xNzg1MTk3NzM4,10.0,10,external_positive,
7667161887074779648,电池热失控引发火情！电动车安全隐患切勿大意,https://m.gmw.cn/toutiao/2026-07/27/content_1304538836.htm,20.0,0,internal_positive,
7667752468641563142,助力企业出海更稳健（政策解读）,http://m2.people.cn/news/toutiao.html?s=NF80XzMwMTcxNzg1Xzg4ODg4OF8xNzg1MjY3MTQw,0.0,0,internal_positive,
tencent:20260731A0AMZV00,“恒惠·经营通”精准赋能 恒丰银行助力达州产业跑出“加速度”,https://view.inews.qq.com/a/20260731A0AMZV00,5.0,0,external_positive,
7669787807082234387,高烧40℃以为只是感冒，男子患暴发性心肌炎心脏差点“停工”,https://m.gmw.cn/toutiao/2026-08/03/content_1304542558.htm,20.0,0,external_positive,
chinanews:/sh/2026/07-28/10668162,“热搜视频”可能是假的！起底虚假摆拍背后的“流量生意”,https://www.chinanews.com.cn/sh/2026/07-28/10668162.shtml,10.0,0,internal_positive,
7667580764787081769,陈吉宁龚正向老同志通报上海改革发展重点工作,https://m.thepaper.cn/newsDetail_forward_33676513?from=toutiao,15.0,10,external_positive,
tencent:20260731A0B0GR00,中国之声一线调研丨北京社区微更新实践观察：从“边角地”到“微花园”，方寸绿地如何织密花园城市肌理？,https://view.inews.qq.com/a/20260731A0B0GR00,20.0,0,internal_positive,
7669211172012360207,中国第三批埃博拉抗疫医疗专家组抵达刚果（金）,http://t.ynet.cn/h5/38512094.html,0.0,0,internal_positive,
7667136655542731305,人民日报·深圳人民眼丨“深圳绿”，最动人底色,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjUxMjUyXzIwMjg0Nl8xNzg1MTM1MDI5,5.0,0,external_positive,
7667749678167736884,提高首发经济的外溢效果持续激发消费活力,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzcwMDIyXzQwNTMxXzE3ODUyODU2MjE=,0.0,0,internal_positive,
7670349898105012776,上海向“新”而行底气足（活力中国调研行）,http://m2.people.cn/news/toutiao.html?s=NF80XzMwMTczMTM2Xzg4ODg4OF8xNzg1ODcxMzE5,20.0,80,external_positive,
7666778118690013731,陈茂波：打造宜居宜业宜学宜游的北部都会区,http://my-h5news.app.xinhuanet.com/h5/article.html?articleId=202607266631504d707246f09caaf3f9587ec383,30.0,10,external_positive,
7667502423980409380,安徽广德：厚植创新生态激活产业发展新动能,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjUyNDQzXzM3NDE2NF8xNzg1MjIzMzcx,0.0,0,external_positive,
7671066572747833908,江淮大地，科技成果正落地生“金”,http://t.ynet.cn/h5/38537270.html,15.0,75,external_positive,
7667824164673159686,我国将建设国有文物资源数据登记管理平台,https://m.gmw.cn/toutiao/2026-07/29/content_38915020.htm,10.0,0,external_positive,
7670369567016780326,局长郭红波被停职，所谓“院长看上你了”等疑问仍待解,http://mp.weixin.qq.com/s?__biz=MjM5MzI5NTU3MQ==&mid=2652556353&idx=1&sn=a24b9ccee11d3a6d35b345a0055060eb,0.0,0,external_positive,
7669955334227755520,人民日报人民论坛：读懂“千里马之喻”的智慧,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a71267de4b03fa51a827365.html,20.0,10,internal_positive,
7668321384518468096,韩龙：赤诚守初心 笃行担使命,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a6b5307e4b0e45f3fd568e4.html,30.0,20,internal_positive,
7666012013948224051,外媒：关税政策反复调整，美国经济民生被拖累,https://wap.cyol.com/commonDetail/1424787,0.0,0,external_positive,
7669719421883810338,甘肃西和县灯塔村数百村民出现饮水困难：靠背水拉水维持生计，当地称正着手解决,https://m.thepaper.cn/newsDetail_forward_33710577?from=toutiao,0.0,0,external_positive,
chinanews:/jk/2026/07-25/10666484,第二届肿瘤精准治疗前沿论坛在内蒙古召开,https://www.chinanews.com.cn/jk/2026/07-25/10666484.shtml,20.0,0,internal_positive,
tencent:20260729A07L6P00,收盘｜创业板指涨1.55% 大消费板块走强,https://new.qq.com/rain/a/20260729A07L6P00,5.0,0,external_positive,
7668630275949101602,国内首款粉状特殊医学用途肿瘤全营养配方食品上市,https://m.bjnews.com.cn/detail/1785492077168587.html,10.0,0,internal_positive,
tencent:20260729A094M200,甘肃天水伏羲庙，这里藏着文明最初的模样,https://new.qq.com/rain/a/20260729A094M200,10.0,0,external_positive,
7667711089051697715,构建可持续发展的美好未来,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzY5NzY1XzEwMDJfMTc4NTI3NjA5MQ==,10.0,0,internal_positive,
7669247634254676516,新闻周刊丨超9万人次志愿者 投身广西横州参与救灾,http://t.ynet.cn/h5/38511761.html,0.0,10,external_positive,
7669200451451191844,人民日报头版关注：上海稳步建设全球科创高地,https://m.thepaper.cn/newsDetail_forward_33696556?from=toutiao,20.0,25,external_positive,
7670486460629402153,钦州向海产业强劲发展上半年GDP增长7．2％,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjYwMTU1XzE3OTQ2NF8xNzg1OTIyNDcz,0.0,0,external_positive,
chinanews:/cj/2026/07-30/10669150,京东健康全链路赋能基层，以“AI+供应链”破解“配不齐、送不到、用不好”难题,https://www.chinanews.com.cn/cj/2026/07-30/10669150.shtml,0.0,0,internal_positive,
chinanews:/sh/2026/07-31/10670156,中国专家团队率先破解肝癌肺转移“时空密码”,https://www.chinanews.com.cn/sh/2026/07-31/10670156.shtml,0.0,0,internal_positive,
7669983917633503753,行进中国丨一杯奶的城乡共富路,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU4NDI3XzE5MjQ5M18xNzg1ODA0NTk2,0.0,0,external_positive,
7669650676074463782,网传“空调24小时不关更省电”？电力公司：无依据，不建议,https://news.bjd.com.cn/2026/08/03/11898191.shtml,0.0,0,internal_positive,
7666764882485920282,北京胸科医院、北京同仁医院用专病数据“训练”智能体,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a65d0cae4b03fa51a821419.html,5.0,0,internal_positive,
7668228376977375784,【活力中国调研行】机器人训练缺场景？这个国家级中试基地“管够”！,https://wap.cyol.com/commonDetail/1430165,20.0,30,external_positive,
7666649145303188011,安庆：“服务好存量企业就是最大的招商引资”,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjUwMjU5XzM1ODQyOF8xNzg1MDI2Nzcz,0.0,0,external_positive,
tencent:20260727A07JBA00,第三届“青春漠漠搭”沙漠营地文化旅游 促消费活动重磅启幕,https://view.inews.qq.com/a/20260727A07JBA00,0.0,0,external_positive,
7668489369183666738,上海大师赛见证中国斯诺克蓬勃发展,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzcxMzk5XzEwMTJfMTc4NTQ1NzgyNQ==,10.0,0,external_positive,
7670432439537304116,“和超”持续火热精彩纷呈,http://m2.people.cn/news/toutiao.html?s=Ml8yXzQxNjU5NzczXzM3NDE2NF8xNzg1ODk4MDE1,10.0,5,external_positive,
7667009820855239174,四川省雅安市雨城区发布暴雨黄色预警信号,http://t.ynet.cn/h5/38480009.html,0.0,0,internal_positive,
chinanews:/sh/2026/07-24/10665825,甘肃临夏：千“面”万店 “拉”动乡兴,https://www.chinanews.com.cn/sh/2026/07-24/10665825.shtml,20.0,5,external_positive,
7670813452701450798,谜题解开！胶球存在,https://rss2.bjd.com.cn/content/5b5fb9d0e4b08630d8aef954/s6a743377e4b03fa51a82911e.html,0.0,35,internal_positive,
qianlong:2026/0806/8708181,北京西城拟推进醇亲王府等文物腾退,https://beijing.qianlong.com/2026/0806/8708181.shtml,5.0,0,internal_positive,
7668704619786306048,国务院常务会议解读丨住房公积金将更好满足居民多样化住房消费需求,http://my-h5news.app.xinhuanet.com/h5/article.html?articleId=20260731fa49f7fa459c4b3995ce531a79fe07ed,0.0,0,internal_positive,
chinanews:/gn/2026/08-06/10673137,（活力中国调研行）从“上学”到“上岗” 机器人如何从训练场走向千行百业,https://www.chinanews.com.cn/gn/2026/08-06/10673137.shtml,10.0,0,internal_positive,
7669945699764666922,动漫谷“瞌睡猫”文创街开启试运营,http://t.ynet.cn/h5/38520891.html,30.0,5,internal_positive,
7666765009917051446,非法社会组织试图重出江湖：起底“中国数字信息与安全产业联盟”,https://m.thepaper.cn/newsDetail_forward_33662137?from=toutiao,5.0,0,internal_positive,
7668561169120018996,宁德中院领导到基层法院宣讲调研,https://m.gmw.cn/toutiao/2026-07/31/content_38920483.htm,0.0,0,internal_positive,
gmw:2026-07/31/content_38919131,以系统观念加快科技创新和产业创新深度融合,https://news.gmw.cn/2026-07/31/content_38919131.htm,30.0,10,internal_positive,
laodongwubao:/content/2026-07/27/content_170391,上接第１版,http://ldwb.workerbj.cn/content/2026-07/27/content_170391.htm,0.0,0,internal_positive,
chinanews:/dwq/2026/07-25/10666476,香港立法会议员完成国家事务研修考察返港 李慧琼：启发于心、回馈于行,https://www.chinanews.com.cn/dwq/2026/07-25/10666476.shtml,25.0,0,internal_positive,
chinanews:/dxw/2026/08-03/10671154,这件“青铜虎”，为何兼具勇猛霸气与伏鸟柔情？,https://www.chinanews.com.cn/dxw/2026/08-03/10671154.shtml,30.0,0,external_positive,
gmw:2026-07/29/content_38913796,筑牢防灾避险第一道防线,https://news.gmw.cn/2026-07/29/content_38913796.htm,30.0,25,external_positive,
7669784022192489014,1年“砍掉”49家省级经开区，辽宁大刀阔斧“瘦身”,https://m.bjnews.com.cn/detail/1785759994129233.html,0.0,0,internal_positive,
7671107623780909611,向前一步把法“种”进山海间,http://m2.people.cn/news/toutiao.html?s=MV8xXzQwNzc1Njc0XzEwMDhfMTc4NjA2NzE0Mg==,15.0,0,external_positive,
